dataset,seed,task_type,num_tasks,num_molecules,train_size,val_size,test_size,best_epoch,metric_name,test_metric,val_loss,val_roc_auc,val_valid_tasks,test_loss,test_roc_auc,test_valid_tasks,val_rmse,test_rmse
Tox21,7,classification,12,7823,6258,782,783,28,ROC-AUC,0.7928418120313524,0.18881532762731826,0.8084785432686927,12.0,0.15506568710718835,0.7928418120313524,12.0,,
Tox21,17,classification,12,7823,6258,782,783,35,ROC-AUC,0.7880357779224014,0.1889658889600209,0.8156446569722368,12.0,0.15058368710534914,0.7880357779224014,12.0,,
Tox21,37,classification,12,7823,6258,782,783,48,ROC-AUC,0.8302698555519165,0.20247586071491241,0.8218389979064108,12.0,0.15899314731359482,0.8302698555519165,12.0,,
ClinTox,7,classification,2,1480,1184,148,148,23,ROC-AUC,0.9228060671722643,0.18202248960733414,0.9513677811550152,2.0,0.14101532846689224,0.9228060671722643,2.0,,
ClinTox,17,classification,2,1480,1184,148,148,7,ROC-AUC,0.7968999310548606,0.15016117319464684,0.922998986828774,2.0,0.15172123908996582,0.7968999310548606,2.0,,
ClinTox,37,classification,2,1480,1184,148,148,21,ROC-AUC,0.9043254867198529,0.20154310017824173,0.9533941236068895,2.0,0.1456223726272583,0.9043254867198529,2.0,,
ESOL,7,regression,1,1128,902,113,113,81,RMSE,0.7370605873090209,0.12570276856422424,,,0.12656213343143463,,,0.734553903742819,0.7370605873090209
ESOL,17,regression,1,1128,902,113,113,50,RMSE,0.740136132477255,0.13005101680755615,,,0.12762053310871124,,,0.7471506113018851,0.740136132477255
ESOL,37,regression,1,1128,902,113,113,26,RMSE,0.8589723510733318,0.1622772216796875,,,0.17189206182956696,,,0.8346032519795704,0.8589723510733318
FreeSolv,7,regression,1,642,513,64,65,35,RMSE,1.834394480197286,0.14697396755218506,,,0.23455937206745148,,,1.4520668360878106,1.834394480197286
FreeSolv,17,regression,1,642,513,64,65,29,RMSE,1.8152653874768383,0.13216228783130646,,,0.22969286143779755,,,1.3769562849725487,1.8152653874768383
FreeSolv,37,regression,1,642,513,64,65,30,RMSE,1.7312309704777926,0.18530400097370148,,,0.20891869068145752,,,1.6304548115813093,1.7312309704777926
Lipophilicity,7,regression,1,4200,3360,420,420,98,RMSE,0.7186861424481802,0.33667293190956116,,,0.35314980149269104,,,0.7243456090538486,0.7186861424481802
Lipophilicity,17,regression,1,4200,3360,420,420,96,RMSE,0.7282085027006047,0.3187359794974327,,,0.35117100924253464,,,0.7048170076445803,0.7282085027006047
Lipophilicity,37,regression,1,4200,3360,420,420,94,RMSE,0.7152383267737762,0.3309343121945858,,,0.34435074031352997,,,0.7155391458376503,0.7152383267737762
