model,dataset,seed,task_type,num_tasks,num_molecules,train_size,val_size,test_size,metric_name,test_metric,val_loss,val_roc_auc,val_valid_tasks,test_loss,test_roc_auc,test_valid_tasks,val_rmse,test_rmse
GCN-CfC,Tox21,7,classification,12,7823,6258,782,783,ROC-AUC,0.7834194513925735,0.19091868613447463,0.8057710868615846,12.0,0.1560089151774134,0.7834194513925735,12.0,,
GCN-CfC,Tox21,17,classification,12,7823,6258,782,783,ROC-AUC,0.7955488196924488,0.1880237885883876,0.8134735686174953,12.0,0.1520636592592512,0.7955488196924488,12.0,,
GCN-CfC,Tox21,37,classification,12,7823,6258,782,783,ROC-AUC,0.8252515147627255,0.20065318473747798,0.8183587836807176,12.0,0.1607475546853883,0.8252515147627255,12.0,,
GCN,Tox21,7,classification,12,7823,6258,782,783,ROC-AUC,0.8383918523424119,0.21651333144732884,0.8138079702565443,12.0,0.17199193207280977,0.8383918523424119,12.0,,
GCN,Tox21,17,classification,12,7823,6258,782,783,ROC-AUC,0.8293230041692875,0.1973931129489626,0.8171700057031382,12.0,0.1606766576213496,0.8293230041692875,12.0,,
GCN,Tox21,37,classification,12,7823,6258,782,783,ROC-AUC,0.8258726460874058,0.19351910267557418,0.8195609427476346,12.0,0.15386295158948218,0.8258726460874058,12.0,,
GIN,Tox21,7,classification,12,7823,6258,782,783,ROC-AUC,0.8145537649048967,0.18350316158362798,0.8212377179031587,12.0,0.14261371376258986,0.8145537649048967,12.0,,
GIN,Tox21,17,classification,12,7823,6258,782,783,ROC-AUC,0.8350413566802138,0.1874996657882418,0.8138114653251067,12.0,0.14407715520688466,0.8350413566802138,12.0,,
GIN,Tox21,37,classification,12,7823,6258,782,783,ROC-AUC,0.7969079239861449,0.18213373635496413,0.8240589456155617,12.0,0.1496677611555372,0.7969079239861449,12.0,,
GAT,Tox21,7,classification,12,7823,6258,782,783,ROC-AUC,0.8119973208309187,0.18161826687199728,0.8137233846291688,12.0,0.14940678434712545,0.8119973208309187,12.0,,
GAT,Tox21,17,classification,12,7823,6258,782,783,ROC-AUC,0.8060472779759053,0.18784282037190028,0.8081815003654373,12.0,0.14820657510842597,0.8060472779759053,12.0,,
GAT,Tox21,37,classification,12,7823,6258,782,783,ROC-AUC,0.8252393876749634,0.18591723697526114,0.8119371531592293,12.0,0.1427589644278799,0.8252393876749634,12.0,,
GraphSAGE,Tox21,7,classification,12,7823,6258,782,783,ROC-AUC,0.8028419171626643,0.19467840663024358,0.8088711251147093,12.0,0.1545600433434759,0.8028419171626643,12.0,,
GraphSAGE,Tox21,17,classification,12,7823,6258,782,783,ROC-AUC,0.8069845669647274,0.18623469982828414,0.8154653793647074,12.0,0.1463965784226145,0.8069845669647274,12.0,,
GraphSAGE,Tox21,37,classification,12,7823,6258,782,783,ROC-AUC,0.8001188199360917,0.18819002381392888,0.8067627313360725,12.0,0.15138796610491617,0.8001188199360917,12.0,,
GCN-CfC,ClinTox,7,classification,2,1480,1184,148,148,ROC-AUC,0.9127417183755212,0.1967475637793541,0.9463019250253293,2.0,0.15896102786064148,0.9127417183755212,2.0,,
GCN-CfC,ClinTox,17,classification,2,1480,1184,148,148,ROC-AUC,0.7994722413736498,0.1503424309194088,0.9240121580547113,2.0,0.15184397250413895,0.7994722413736498,2.0,,
GCN-CfC,ClinTox,37,classification,2,1480,1184,148,148,ROC-AUC,0.9009414294625562,0.16720033437013626,0.9518743667679838,2.0,0.13119974359869957,0.9009414294625562,2.0,,
GCN,ClinTox,7,classification,2,1480,1184,148,148,ROC-AUC,0.9245420072884862,0.15638481080532074,0.9493414387031408,2.0,0.06442559882998466,0.9245420072884862,2.0,,
GCN,ClinTox,17,classification,2,1480,1184,148,148,ROC-AUC,0.8974063495190256,0.13537156209349632,0.9690982776089159,2.0,0.13423318788409233,0.8974063495190256,2.0,,
GCN,ClinTox,37,classification,2,1480,1184,148,148,ROC-AUC,0.9228446436192914,0.1413164958357811,0.9716312056737588,2.0,0.10961762070655823,0.9228446436192914,2.0,,
GIN,ClinTox,7,classification,2,1480,1184,148,148,ROC-AUC,0.9128049180866082,0.17179108411073685,0.9726443768996961,2.0,0.13221997395157814,0.9128049180866082,2.0,,
GIN,ClinTox,17,classification,2,1480,1184,148,148,ROC-AUC,0.9057380413014217,0.116049375385046,0.9625126646403241,2.0,0.08479496277868748,0.9057380413014217,2.0,,
GIN,ClinTox,37,classification,2,1480,1184,148,148,ROC-AUC,0.9084227978594175,0.0969883743673563,0.9549138804457953,2.0,0.09513238444924355,0.9084227978594175,2.0,,
GAT,ClinTox,7,classification,2,1480,1184,148,148,ROC-AUC,0.9245173840244263,0.13674364238977432,0.9574468085106383,2.0,0.07387813460081816,0.9245173840244263,2.0,,
GAT,ClinTox,17,classification,2,1480,1184,148,148,ROC-AUC,0.9146779277060968,0.15936217457056046,0.9620060790273556,2.0,0.10676853731274605,0.9146779277060968,2.0,,
GAT,ClinTox,37,classification,2,1480,1184,148,148,ROC-AUC,0.8026067828884731,0.18659716099500656,0.9376899696048633,2.0,0.16862356662750244,0.8026067828884731,2.0,,
GraphSAGE,ClinTox,7,classification,2,1480,1184,148,148,ROC-AUC,0.8830862799172658,0.1861354112625122,0.9447821681864235,2.0,0.09787250310182571,0.8830862799172658,2.0,,
GraphSAGE,ClinTox,17,classification,2,1480,1184,148,148,ROC-AUC,0.9127170951114612,0.1600852645933628,0.9579533941236069,2.0,0.09089086018502712,0.9127170951114612,2.0,,
GraphSAGE,ClinTox,37,classification,2,1480,1184,148,148,ROC-AUC,0.882000393972225,0.17058099061250687,0.9376899696048633,2.0,0.08739309757947922,0.882000393972225,2.0,,
GCN-CfC,ESOL,7,regression,1,1128,902,113,113,RMSE,0.744497098669851,0.12170974165201187,,,0.12912891805171967,,,0.7227930300374945,0.744497098669851
