index,dataset,model,task_type,metric,mean,std,n_seeds
22,Tox21,GCN-CfC,classification,ROC-AUC,0.8014065952825827,0.021522442533304126,3
21,Tox21,GCN,classification,ROC-AUC,0.8311958341997018,0.006466316614268285,3
23,Tox21,GIN,classification,ROC-AUC,0.8155010151904185,0.019084355755063852,3
20,Tox21,GAT,classification,ROC-AUC,0.8144279954939292,0.009824225321277066,3
24,Tox21,GraphSAGE,classification,ROC-AUC,0.8033151013544945,0.0034572457281561,3
2,ClinTox,GCN-CfC,classification,ROC-AUC,0.8710517964039091,0.06226986613406838,3
1,ClinTox,GCN,classification,ROC-AUC,0.9149310001422677,0.015200503131686157,3
3,ClinTox,GIN,classification,ROC-AUC,0.9089885857491491,0.0035672501771500794,3
0,ClinTox,GAT,classification,ROC-AUC,0.8806006982063321,0.06772364317664173,3
4,ClinTox,GraphSAGE,classification,ROC-AUC,0.8926012563336506,0.017429286111959878,3
7,ESOL,GCN-CfC,regression,RMSE,0.7649486104544349,0.07010780689806627,3
6,ESOL,GCN,regression,RMSE,0.9342931963319218,0.09241075357819559,3
8,ESOL,GIN,regression,RMSE,0.8447846179755264,0.02862032204517252,3
5,ESOL,GAT,regression,RMSE,0.8371109027811491,0.09173467266996745,3
9,ESOL,GraphSAGE,regression,RMSE,1.0316913353976809,0.18365401229952652,3
12,FreeSolv,GCN-CfC,regression,RMSE,1.7781279159488612,0.13098996018262501,3
11,FreeSolv,GCN,regression,RMSE,2.6966010058580667,0.2720940564931391,3
13,FreeSolv,GIN,regression,RMSE,1.85669012342842,0.26162215314561243,3
10,FreeSolv,GAT,regression,RMSE,2.3898593792293483,0.34944190382143603,3
14,FreeSolv,GraphSAGE,regression,RMSE,2.4263909358805527,0.4421456091972725,3
17,Lipophilicity,GCN-CfC,regression,RMSE,0.7269405761505432,0.015404098611132518,3
16,Lipophilicity,GCN,regression,RMSE,0.8068813139169252,0.0036999986241371603,3
18,Lipophilicity,GIN,regression,RMSE,0.7505417691083861,0.011317740156085438,3
15,Lipophilicity,GAT,regression,RMSE,0.7772515172055682,0.018614651226579723,3
19,Lipophilicity,GraphSAGE,regression,RMSE,0.771281741329747,0.01178910639473818,3
