model,dataset,seed,task_type,num_tasks,num_molecules,train_size,val_size,test_size,best_epoch,metric_name,test_metric,val_loss,val_rmse,test_loss,test_rmse
GCN-CfC,Lipophilicity,7,regression,1,4200,3360,420,420,98,RMSE,0.7191861529342224,0.33299853652715683,0.717732164922027,0.34976014494895935,0.7191861529342224
GCN-CfC,Lipophilicity,17,regression,1,4200,3360,420,420,77,RMSE,0.716954601095525,0.32438184693455696,0.7100930281258837,0.3396848514676094,0.716954601095525
GCN-CfC,Lipophilicity,37,regression,1,4200,3360,420,420,38,RMSE,0.7446810144421361,0.36857444792985916,0.7443100543640636,0.3828796222805977,0.7446810144421361
GCN,Lipophilicity,7,regression,1,4200,3360,420,420,79,RMSE,0.803745644470089,0.38374198228120804,0.7700725529908282,0.44648874551057816,0.803745644470089
GCN,Lipophilicity,17,regression,1,4200,3360,420,420,95,RMSE,0.810962248849,0.38968951255083084,0.777650705432345,0.4545573219656944,0.810962248849
GCN,Lipophilicity,37,regression,1,4200,3360,420,420,69,RMSE,0.8059360484316868,0.4051077887415886,0.7819133231378735,0.4589478373527527,0.8059360484316868
GIN,Lipophilicity,7,regression,1,4200,3360,420,420,49,RMSE,0.7397910932192938,0.36883872747421265,0.7572082391371245,0.3756287097930908,0.7397910932192938
GIN,Lipophilicity,17,regression,1,4200,3360,420,420,58,RMSE,0.7494820952385863,0.35224495083093643,0.7349088635676155,0.3905382677912712,0.7494820952385863
GIN,Lipophilicity,37,regression,1,4200,3360,420,420,57,RMSE,0.7623521176750937,0.37288328260183334,0.7529708514606751,0.4010300263762474,0.7623521176750937
GAT,Lipophilicity,7,regression,1,4200,3360,420,420,66,RMSE,0.7919355906103053,0.4310682490468025,0.8024622694991501,0.4418475329875946,0.7919355906103053
GAT,Lipophilicity,17,regression,1,4200,3360,420,420,59,RMSE,0.7835031824077737,0.40869732201099396,0.7842867007461526,0.4252805784344673,0.7835031824077737
GAT,Lipophilicity,37,regression,1,4200,3360,420,420,70,RMSE,0.7563157785986253,0.40668022632598877,0.7884831709604898,0.4023953601717949,0.7563157785986253
GraphSAGE,Lipophilicity,7,regression,1,4200,3360,420,420,82,RMSE,0.7848674565691051,0.37059830501675606,0.762970624363222,0.4195881113409996,0.7848674565691051
GraphSAGE,Lipophilicity,17,regression,1,4200,3360,420,420,63,RMSE,0.7637443800749099,0.3684072270989418,0.7649195009151284,0.3920680359005928,0.7637443800749099
GraphSAGE,Lipophilicity,37,regression,1,4200,3360,420,420,60,RMSE,0.765233309454417,0.3683985024690628,0.7566482803516764,0.39626990258693695,0.765233309454417
