model,dataset,seed,epoch,train_loss,val_loss,val_rmse,test_loss,test_rmse
GCN-CfC,ESOL,7,1,0.8610080108046532,0.9928047060966492,2.0643492991054204,0.9686442613601685,2.039076180247751
GCN-CfC,ESOL,7,2,0.5278571173548698,0.7470167875289917,1.7906738088190306,0.652260959148407,1.6732544956531599
GCN-CfC,ESOL,7,3,0.4904961474239826,0.519014298915863,1.4925914437349448,0.5077404975891113,1.4762917729603868
GCN-CfC,ESOL,7,4,0.3477143868803978,0.3991384506225586,1.3089198830568416,0.3812779188156128,1.279299111400717
GCN-CfC,ESOL,7,5,0.350750632584095,0.5546247363090515,1.5429465763092254,0.5509114861488342,1.5377728631024359
GCN-CfC,ESOL,7,6,0.3393941670656204,0.45328405499458313,1.3948788249803203,0.433716744184494,1.3644397262059524
GCN-CfC,ESOL,7,7,0.29373304173350334,0.37851718068122864,1.2746591617308094,0.38715705275535583,1.2891245509153981
GCN-CfC,ESOL,7,8,0.28253879211843014,0.28399458527565,1.1040946589088245,0.27822214365005493,1.0928161994537664
GCN-CfC,ESOL,7,9,0.20424254424870014,0.2791823446750641,1.0947003731500198,0.2669408619403839,1.0704313894357924
GCN-CfC,ESOL,7,10,0.22588400729000568,0.3206893801689148,1.1732582067059947,0.3426376283168793,1.2127430898280391
GCN-CfC,ESOL,7,11,0.1801770906895399,0.28262844681739807,1.101435877238753,0.3148568868637085,1.1625399777501195
GCN-CfC,ESOL,7,12,0.18017751909792423,0.29266488552093506,1.1208218766564066,0.26369473338127136,1.0639028824388619
GCN-CfC,ESOL,7,13,0.2807328477501869,0.22023499011993408,0.9722868436196902,0.19959859549999237,0.9256142574307683
GCN-CfC,ESOL,7,14,0.1878930814564228,0.18865293264389038,0.8998768099610198,0.19783297181129456,0.921511238874099
GCN-CfC,ESOL,7,15,0.17179298400878906,0.2655734717845917,1.0676861024108397,0.22310495376586914,0.9786015090257153
GCN-CfC,ESOL,7,16,0.14940467849373817,0.21760708093643188,0.9664686474280926,0.21979688107967377,0.9713193599133942
GCN-CfC,ESOL,7,17,0.256820329464972,0.2294759899377823,0.9924757230946052,0.25827643275260925,1.0529158794932008
GCN-CfC,ESOL,7,18,0.17667146865278482,0.21398864686489105,0.9583996390472586,0.19716046750545502,0.9199436128481788
GCN-CfC,ESOL,7,19,0.2072456143796444,0.20993301272392273,0.949274163532112,0.19486938416957855,0.9145829438981348
GCN-CfC,ESOL,7,20,0.14729187730699778,0.23067426681518555,0.9950636380418348,0.19640249013900757,0.918173552048005
GCN-CfC,ESOL,7,21,0.13976881839334965,0.2960783541202545,1.1273392093643668,0.30820798873901367,1.1501997318140817
GCN-CfC,ESOL,7,22,0.1445470079779625,0.23876522481441498,1.0123642441903207,0.2040591537952423,0.9358997674892204
GCN-CfC,ESOL,7,23,0.16096477769315243,0.3437948226928711,1.2147892881494555,0.24961356818675995,1.035107363140285
GCN-CfC,ESOL,7,24,0.16162369959056377,0.23168043792247772,0.9972314358807748,0.21875879168510437,0.9690229277540816
GCN-CfC,ESOL,7,25,0.14711373671889305,0.178156778216362,0.8744851709507709,0.1605146825313568,0.8300584499046911
GCN-CfC,ESOL,7,26,0.11756439786404371,0.1764046847820282,0.8701744531695783,0.16576284170150757,0.8435190732503346
GCN-CfC,ESOL,7,27,0.1270742742344737,0.15499860048294067,0.8156711974525447,0.155733123421669,0.8176017294883166
GCN-CfC,ESOL,7,28,0.2111275987699628,0.2604382038116455,1.057313151524927,0.23937998712062836,1.01366681812473
GCN-CfC,ESOL,7,29,0.2160076592117548,0.3726824223995209,1.2647967513025196,0.29613420367240906,1.127445529882292
GCN-CfC,ESOL,7,30,0.18369384296238422,0.31266218423843384,1.1584811463943678,0.23997992277145386,1.0149362429433635
GCN-CfC,ESOL,7,31,0.15114495903253555,0.17964737117290497,0.8781358860739368,0.15426819026470184,0.8137471823929204
GCN-CfC,ESOL,7,32,0.1109844446182251,0.22332504391670227,0.9790840249323893,0.20531415939331055,0.9387733712569699
GCN-CfC,ESOL,7,33,0.12593583576381207,0.19176128506660461,0.9072600031049246,0.18234778940677643,0.8847111902059811
GCN-CfC,ESOL,7,34,0.15798110514879227,0.15946528315544128,0.8273406362790167,0.15573422610759735,0.8176045726539076
GCN-CfC,ESOL,7,35,0.217810089699924,0.2249574065208435,0.9826557950264291,0.21245698630809784,0.9549635055818917
