pair_id,sample_i,sample_j,label_i,label_j,smiles_i,smiles_j,warhead_flag_i,warhead_flag_j,warhead_matches_i,warhead_matches_j,tanimoto,atom_delta_fraction,selection_min_tanimoto,selection_max_atom_delta,distance_gcn_space,distance_cfc_space,distance_ratio_cfc_over_gcn
0,131,159,0,1,CCn1c(-c2cnn(-c3ccccc3)c2C2CC2)nc2cc(C(=O)N3CCC[C@@H](N)C3)ccc21,CCn1c(-c2cnc(-c3ccccc3)n2CC2CC2)nc2cc(C(=O)N3CCC[C@@H](N)C3)ccc21,False,False,,,0.6097560975609756,0.0285714285714285,0.5,0.25,1.2143418788909912,2.681879997253418,2.2085049061329163
1,159,374,1,0,CCn1c(-c2cnc(-c3ccccc3)n2CC2CC2)nc2cc(C(=O)N3CCC[C@@H](N)C3)ccc21,Cn1c(-c2cncn2CC2CC2)nc2cc(C(=O)N3CCC[C@@H](N)C3)ccc21,False,False,,,0.575,0.2,0.5,0.25,1.3685227632522583,1.2726482152938843,0.9299430374614079
2,86,143,0,1,COc1cc(C(=O)N2CCC[C@@H](N)C2)cc2nc(-c3ccc(C(=O)N(Cc4ccccc4)c4ccccc4)n3CC3CC3)n(C)c12,Cn1c(-c2ccc(Cc3ccccc3)n2CC2CC2)nc2cc(C(=O)N3CCC[C@@H](N)C3)cnc21,False,False,,,0.5531914893617021,0.2391304347826087,0.5,0.25,1.0290807485580444,1.550370693206787,1.5065588345513004
3,68,222,1,0,COc1cc(C(=O)N2CC3CCC2[C@@H]3N)cc2nc(-c3cc4ccc(Nc5ccnc(C#N)c5)nc4n3CC3CC3)n(C)c12,COc1cc(C(=O)N2C[C@H]3CC[C@@H]2[C@@H]3N)cc2nc(-c3ccc(C#N)n3CC3CC3)n([C@@H](C)c3ccccn3)c12,True,True,nitrile,nitrile,0.5412844036697247,0.0909090909090909,0.5,0.25,1.9145358800888062,3.819301128387451,1.9948966055471846
4,52,222,1,0,COc1cc(C(=O)N2CC3CCC2[C@@H]3N)cc2nc(-c3cc4ccc(Nc5cnc(C#N)nc5)nc4n3CC3CC3)n(C)c12,COc1cc(C(=O)N2C[C@H]3CC[C@@H]2[C@@H]3N)cc2nc(-c3ccc(C#N)n3CC3CC3)n([C@@H](C)c3ccccn3)c12,True,True,nitrile,nitrile,0.5370370370370371,0.0909090909090909,0.5,0.25,1.9721128940582275,3.924802303314209,1.99015092652111
5,222,322,0,1,COc1cc(C(=O)N2C[C@H]3CC[C@@H]2[C@@H]3N)cc2nc(-c3ccc(C#N)n3CC3CC3)n([C@@H](C)c3ccccn3)c12,COc1cc(C(=O)N2CC3CCC2[C@@H]3N)cc2nc(-c3cc4ccc(-c5cnc(C#N)cc5C)nc4n3CC3CC3)n(C)c12,True,True,nitrile,nitrile,0.5370370370370371,0.0909090909090909,0.5,0.25,2.091456413269043,4.360176086425781,2.0847558948697498
6,159,262,1,0,CCn1c(-c2cnc(-c3ccccc3)n2CC2CC2)nc2cc(C(=O)N3CCC[C@@H](N)C3)ccc21,Cn1c(-n2nccc2-c2ccccc2)nc2cc(C(=O)N3CCC[C@@H](N)C3)ccc21,False,False,,,0.5308641975308642,0.1428571428571428,0.5,0.25,2.0601806640625,4.364096641540527,2.1183077376014694
7,143,374,1,0,Cn1c(-c2ccc(Cc3ccccc3)n2CC2CC2)nc2cc(C(=O)N3CCC[C@@H](N)C3)cnc21,Cn1c(-c2cncn2CC2CC2)nc2cc(C(=O)N3CCC[C@@H](N)C3)ccc21,False,False,,,0.5301204819277109,0.2,0.5,0.25,1.1928342580795288,1.2760004997253418,1.0697215401741658
8,159,203,1,0,CCn1c(-c2cnc(-c3ccccc3)n2CC2CC2)nc2cc(C(=O)N3CCC[C@@H](N)C3)ccc21,CCCc1c(-c2nc3cc(C(=O)N4CCC[C@@H](N)C4)ccc3n2C)cnn1-c1ccccc1,False,False,,,0.5232558139534884,0.0571428571428571,0.5,0.25,1.4826229810714722,3.1855976581573486,2.14862287906475
9,127,222,1,0,COc1cc(C(=O)N2C[C@H]3CC[C@@H]2[C@@H]3N)cc2nc(-c3cc4ccc(C5COC5)nc4n3CC3CC3)n(C)c12,COc1cc(C(=O)N2C[C@H]3CC[C@@H]2[C@@H]3N)cc2nc(-c3ccc(C#N)n3CC3CC3)n([C@@H](C)c3ccccn3)c12,False,True,,nitrile,0.5145631067961165,0.025,0.5,0.25,1.372406005859375,1.866526484489441,1.3600395775888907
