pair_id,sample_i,sample_j,label_i,label_j,tanimoto,warhead_flag_i,warhead_flag_j,distance_gcn_space,distance_cfc_space,distance_ratio_cfc_over_gcn
0,131,159,0,1,0.6097560975609756,False,False,1.2143418788909912,2.3778865337371826,1.9581689267842837
1,159,374,1,0,0.575,False,False,1.3685227632522583,1.200038194656372,0.8768858121179606
2,86,143,0,1,0.5531914893617021,False,False,1.0290807485580444,1.3888435363769531,1.3495962666904526
3,68,222,1,0,0.5412844036697247,True,True,1.9145358800888064,3.472759962081909,1.813891292505223
4,52,222,1,0,0.5370370370370371,True,True,1.9721128940582275,3.51313591003418,1.7814070992684523
5,222,322,0,1,0.5370370370370371,True,True,2.091456413269043,3.865621328353882,1.848291603797632
6,159,262,1,0,0.5308641975308642,False,False,2.0601806640625,3.876599550247192,1.8816794166987616
7,143,374,1,0,0.5301204819277109,False,False,1.1928342580795288,1.2454442977905271,1.04410507105631
8,159,203,1,0,0.5232558139534884,False,False,1.4826229810714722,3.0187652111053467,2.0360976793464545
9,127,222,1,0,0.5145631067961165,False,True,1.372406005859375,1.5149134397506714,1.1038376641335528
