pair_id,sample_i,sample_j,label_i,label_j,tanimoto,warhead_flag_i,warhead_flag_j,warhead_matches_i,warhead_matches_j,distance_gcn_space
0,131,159,0,1,0.6097560975609756,False,False,,,1.2143418788909912
1,159,374,1,0,0.575,False,False,,,1.3685227632522583
2,86,143,0,1,0.5531914893617021,False,False,,,1.0290807485580444
3,68,222,1,0,0.5412844036697247,True,True,nitrile,nitrile,1.9145359992980957
4,52,222,1,0,0.5370370370370371,True,True,nitrile,nitrile,1.9721128940582275
5,222,322,0,1,0.5370370370370371,True,True,nitrile,nitrile,2.091456413269043
6,159,262,1,0,0.5308641975308642,False,False,,,2.0601806640625
7,143,374,1,0,0.5301204819277109,False,False,,,1.1928342580795288
8,159,203,1,0,0.5232558139534884,False,False,,,1.4826229810714722
9,127,222,1,0,0.5145631067961165,False,True,,nitrile,1.3724061250686646
